INFO DATE TIME CLASS LINE DATASET ALGORITHM REPRESENTATION WORDSIZE ALPHA SCORE
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 13 0.55
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 14 0.5
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 15 0.48
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 14 16 0.48
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 3 0.46
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 4 0.45
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 5 0.53
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 6 0.47
[series][INFO] [2020-10-12 16:36:44] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 7 0.45
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 8 0.46
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 9 0.48
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 10 0.46
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 11 0.47
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 12 0.47
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 13 0.46
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 14 0.44
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 15 0.49
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 15 16 0.43
[series][INFO] [2020-10-12 16:36:45] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 3 0.44
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 4 0.42
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 5 0.4
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 6 0.44
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 7 0.43
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 8 0.49
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 9 0.46
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 10 0.46
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 11 0.5
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 12 0.48
[series][INFO] [2020-10-12 16:36:46] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 13 0.46
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 14 0.42
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 15 0.53
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 16 16 0.46
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 3 0.46
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 4 0.45
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 5 0.43
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 6 0.46
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 7 0.45
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 8 0.47
[series][INFO] [2020-10-12 16:36:47] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 9 0.49
[series][INFO] [2020-10-12 16:36:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 10 0.46
[series][INFO] [2020-10-12 16:36:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 11 0.47
[series][INFO] [2020-10-12 16:36:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 12 0.42
[series][INFO] [2020-10-12 16:36:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 13 0.45
[series][INFO] [2020-10-12 16:36:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 14 0.43
[series][INFO] [2020-10-12 16:36:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 15 0.44
[series][INFO] [2020-10-12 16:36:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 17 16 0.42
[series][INFO] [2020-10-12 16:36:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 18 3 0.44
[series][INFO] [2020-10-12 16:36:48] cn.edu.cug.cs.gtl.series.app.cmd.KNNApp | ACSF1 KNN SAXTG 18 4 0.47
